date,actual_revenue,predicted_revenue,pred_lower,pred_upper,model
2018-01-01,8645.95,,,,Actual
2018-02-01,12877.17,,,,Actual
2018-03-01,13851.14,,,,Actual
2018-04-01,13232.77,,,,Actual
2018-05-01,8227.61,,,,Actual
2018-06-01,12757.33,,,,Actual
2018-07-01,11032.85,,,,Actual
2018-08-01,7770.91,,,,Actual
2018-09-01,9316.04,,,,Actual
2018-10-01,8778.57,,,,Actual
2018-11-01,9343.45,,,,Actual
2018-12-01,9204.84,,,,Actual
2019-01-01,11396.73,,,,Actual
2019-02-01,15457.68,,,,Actual
2019-03-01,15852.98,,,,Actual
2019-04-01,14615.56,,,,Actual
2019-05-01,13578.4,,,,Actual
2019-06-01,12415.87,,,,Actual
2019-07-01,9503.91,,,,Actual
2019-08-01,11673.86,,,,Actual
2019-09-01,11232.1,,,,Actual
2019-10-01,10623.4,,,,Actual
2019-11-01,8704.74,,,,Actual
2019-12-01,13648.43,,,,Actual
2020-01-01,12610.92,,,,Actual
2020-02-01,15851.7,,,,Actual
2020-03-01,15986.72,,,,Actual
2020-04-01,16072.52,,,,Actual
2020-05-01,16917.22,,,,Actual
2020-06-01,15852.03,,,,Actual
2020-07-01,18055.41,,,,Actual
2020-08-01,14415.19,,,,Actual
2020-09-01,13478.01,,,,Actual
2020-10-01,17278.35,,,,Actual
2020-11-01,13222.2,,,,Actual
2020-12-01,13394.89,,,,Actual
2021-01-01,13666.01,,,,Actual
2021-02-01,16079.18,,,,Actual
2021-03-01,13260.89,,,,Actual
2021-04-01,16443.53,,,,Actual
2021-05-01,18259.68,,,,Actual
2021-06-01,17353.4,,,,Actual
2021-07-01,17004.44,,,,Actual
2021-08-01,13853.25,,,,Actual
2021-09-01,14359.91,,,,Actual
2021-10-01,16595.75,,,,Actual
2021-11-01,14158.99,,,,Actual
2021-12-01,17466.45,,,,Actual
2022-01-01,13766.62,,,,Actual
2022-02-01,16952.22,,,,Actual
2022-03-01,19544.28,,,,Actual
2022-04-01,17136.81,,,,Actual
2022-05-01,18268.35,,,,Actual
2022-06-01,16970.65,,,,Actual
2022-07-01,20067.05,,,,Actual
2022-08-01,17713.22,,,,Actual
2022-09-01,19070.74,,,,Actual
2022-10-01,16131.41,,,,Actual
2022-11-01,13582.71,,,,Actual
2022-12-01,15443.75,,,,Actual
2023-01-01,,14978.215113468497,10822.71574574098,19133.714481196017,arima
2023-02-01,,16531.385732420327,11734.592908303086,21328.17855653757,arima
2023-03-01,,17648.882252521493,12583.097954703251,22714.666550339734,arima
2023-04-01,,16841.551506466167,11613.059639347339,22070.043373584995,arima
2023-05-01,,17287.760874105938,11934.658186784483,22640.86356142739,arima
2023-06-01,,16826.883061762204,11364.995709204237,22288.77041432017,arima
