date,actual_revenue,predicted_revenue,pred_lower,pred_upper,model
2018-01-01,8645.95,,,,
2018-02-01,12877.17,,,,
2018-03-01,13851.14,,,,
2018-04-01,13232.77,,,,
2018-05-01,8227.61,,,,
2018-06-01,12757.33,,,,
2018-07-01,11032.85,,,,
2018-08-01,7770.91,,,,
2018-09-01,9316.04,,,,
2018-10-01,8778.57,,,,
2018-11-01,9343.45,,,,
2018-12-01,9204.84,,,,
2019-01-01,11396.73,,,,
2019-02-01,15457.68,,,,
2019-03-01,15852.98,,,,
2019-04-01,14615.56,,,,
2019-05-01,13578.4,,,,
2019-06-01,12415.87,,,,
2019-07-01,9503.91,,,,
2019-08-01,11673.86,,,,
2019-09-01,11232.1,,,,
2019-10-01,10623.4,,,,
2019-11-01,8704.74,,,,
2019-12-01,13648.43,,,,
2020-01-01,12610.92,,,,
2020-02-01,15851.7,,,,
2020-03-01,15986.72,,,,
2020-04-01,16072.52,,,,
2020-05-01,16917.22,,,,
2020-06-01,15852.03,,,,
2020-07-01,18055.41,,,,
2020-08-01,14415.19,,,,
2020-09-01,13478.01,,,,
2020-10-01,17278.35,,,,
2020-11-01,13222.2,,,,
2020-12-01,13394.89,,,,
2021-01-01,13666.01,,,,
2021-02-01,16079.18,,,,
2021-03-01,13260.89,,,,
2021-04-01,16443.53,,,,
2021-05-01,18259.68,,,,
2021-06-01,17353.4,,,,
2021-07-01,17004.44,,,,
2021-08-01,13853.25,,,,
2021-09-01,14359.91,,,,
2021-10-01,16595.75,,,,
2021-11-01,14158.99,,,,
2021-12-01,17466.45,,,,
2022-01-01,13766.62,,,,
2022-02-01,16952.22,,,,
2022-03-01,19544.28,,,,
2022-04-01,17136.81,,,,
2022-05-01,18268.35,,,,
2022-06-01,16970.65,,,,
2022-07-01,20067.05,,,,
2022-08-01,17713.22,,,,
2022-09-01,19070.74,,,,
2022-10-01,16131.41,,,,
2022-11-01,13582.71,,,,
2022-12-01,15443.75,,,,
2023-01-01,,14978.215113468497,10822.71574574098,19133.714481196017,ARIMA
2023-02-01,,16531.385732420327,11734.592908303086,21328.17855653757,ARIMA
2023-03-01,,17648.882252521493,12583.097954703251,22714.666550339734,ARIMA
2023-04-01,,16841.551506466167,11613.059639347339,22070.043373584995,ARIMA
2023-05-01,,17287.760874105938,11934.658186784483,22640.86356142739,ARIMA
2023-06-01,,16826.883061762204,11364.995709204237,22288.77041432017,ARIMA
