date,actual_revenue,predicted_revenue,pred_lower,pred_upper,model
2018-01-01,8645.95,,,,Actual
2018-02-01,12877.17,,,,Actual
2018-03-01,13851.14,,,,Actual
2018-04-01,13232.77,,,,Actual
2018-05-01,8227.61,,,,Actual
2018-06-01,12757.33,,,,Actual
2018-07-01,11032.85,,,,Actual
2018-08-01,7770.91,,,,Actual
2018-09-01,9316.04,,,,Actual
2018-10-01,8778.57,,,,Actual
2018-11-01,9343.45,,,,Actual
2018-12-01,9204.84,,,,Actual
2019-01-01,11396.73,,,,Actual
2019-02-01,15457.68,,,,Actual
2019-03-01,15852.98,,,,Actual
2019-04-01,14615.56,,,,Actual
2019-05-01,13578.4,,,,Actual
2019-06-01,12415.87,,,,Actual
2019-07-01,9503.91,,,,Actual
2019-08-01,11673.86,,,,Actual
2019-09-01,11232.1,,,,Actual
2019-10-01,10623.4,,,,Actual
2019-11-01,8704.74,,,,Actual
2019-12-01,13648.43,,,,Actual
2020-01-01,12610.92,,,,Actual
2020-02-01,15851.7,,,,Actual
2020-03-01,15986.72,,,,Actual
2020-04-01,16072.52,,,,Actual
2020-05-01,16917.22,,,,Actual
2020-06-01,15852.03,,,,Actual
2020-07-01,18055.41,,,,Actual
2020-08-01,14415.19,,,,Actual
2020-09-01,13478.01,,,,Actual
2020-10-01,17278.35,,,,Actual
2020-11-01,13222.2,,,,Actual
2020-12-01,13394.89,,,,Actual
2021-01-01,13666.01,,,,Actual
2021-02-01,16079.18,,,,Actual
2021-03-01,13260.89,,,,Actual
2021-04-01,16443.53,,,,Actual
2021-05-01,18259.68,,,,Actual
2021-06-01,17353.4,,,,Actual
2021-07-01,17004.44,,,,Actual
2021-08-01,13853.25,,,,Actual
2021-09-01,14359.91,,,,Actual
2021-10-01,16595.75,,,,Actual
2021-11-01,14158.99,,,,Actual
2021-12-01,17466.45,,,,Actual
2022-01-01,13766.62,,,,Actual
2022-02-01,16952.22,,,,Actual
2022-03-01,19544.28,,,,Actual
2022-04-01,17136.81,,,,Actual
2022-05-01,18268.35,,,,Actual
2022-06-01,16970.65,,,,Actual
2022-07-01,20067.05,,,,Actual
2022-08-01,17713.22,,,,Actual
2022-09-01,19070.74,,,,Actual
2022-10-01,16131.41,,,,Actual
2022-11-01,13582.71,,,,Actual
2022-12-01,15443.75,,,,Actual
2023-01-01,,17021.11830954292,15229.140899154183,18913.58635259301,prophet
2023-02-01,,20446.51911082514,18622.42281983787,22241.62924250312,prophet
2023-03-01,,21371.816725969984,19497.458747696815,23039.031560279014,prophet
2023-04-01,,20381.711009716277,18607.286351511404,22288.381359926996,prophet
2023-05-01,,19121.821603194046,17410.203545230437,20869.459308550202,prophet
2023-06-01,,20296.626025880676,18489.530745609165,22139.573160127446,prophet
