date,actual_revenue,predicted_revenue,pred_lower,pred_upper,model
2018-01-01,8645.95,8675.851086463827,6828.984477237771,10447.304084580914,Prophet
2018-02-01,12877.17,12102.41821941281,10371.67622640524,13846.304574560547,Prophet
2018-03-01,13851.14,12588.14548436924,10841.226940662313,14396.05376365114,Prophet
2018-04-01,13232.77,12169.423580107346,10393.404230535247,13888.544808643255,Prophet
2018-05-01,8227.61,11477.94221751201,9618.744924317352,13343.236672607782,Prophet
2018-06-01,12757.33,11825.74497773287,10019.894880685952,13701.403438017089,Prophet
2018-07-01,11032.85,11476.26284551659,9880.945546622526,13259.043426800818,Prophet
2018-08-01,7770.91,10114.904688808714,8217.084846911577,11857.352426222915,Prophet
2018-09-01,9316.04,10659.129108462601,8859.906638439565,12516.08017759876,Prophet
2018-10-01,8778.57,10198.6928155088,8439.706399309367,12109.331400196439,Prophet
2018-11-01,9343.45,8280.063058010139,6633.338116364605,10103.80029102693,Prophet
2018-12-01,9204.84,10541.109936906145,8773.14727347012,12254.524465880304,Prophet
2019-01-01,11396.73,10397.788937349047,8663.453143954364,12294.577453804994,Prophet
2019-02-01,15457.68,13823.4619303127,12166.191158706595,15557.88302563749,Prophet
2019-03-01,15852.98,14749.005397508034,12859.411125499217,16494.531695373043,Prophet
2019-04-01,14615.56,13759.171874605481,11938.86766524553,15487.48092098746,Prophet
2019-05-01,13578.4,12499.545880496216,10470.611432387353,14291.456746853213,Prophet
2019-06-01,12415.87,13674.622496023007,11869.277688630791,15474.518342582722,Prophet
2019-07-01,9503.91,12317.830634253178,10493.335029958647,14088.84744841417,Prophet
2019-08-01,11673.86,12682.720976967652,10881.321386392989,14492.998761678728,Prophet
2019-09-01,11232.1,13472.901687781607,11599.05354775245,15394.632200468632,Prophet
2019-10-01,10623.4,10872.906609027437,9081.888447764608,12710.903028082492,Prophet
2019-11-01,8704.74,9424.441085414453,7513.970436509323,11287.893244540779,Prophet
2019-12-01,13648.43,12273.739582393486,10465.103301863553,14077.411135146105,Prophet
2020-01-01,12610.92,12127.682387838828,10283.932935249646,13839.861444255646,Prophet
2020-02-01,15851.7,15551.244885066944,13719.546769398106,17278.82667853974,Prophet
2020-03-01,15986.72,14875.493445048827,13132.92962154601,16851.896764265075,Prophet
2020-04-01,16072.52,15566.22775035766,13909.648022986868,17472.46590273589,Prophet
2020-05-01,16917.22,16063.792472400562,14271.854442016145,17876.89591458699,Prophet
2020-06-01,15852.03,14767.41739191707,13039.217304430367,16609.086491195165,Prophet
2020-07-01,18055.41,16478.547653451966,14673.231050873825,18206.668532145555,Prophet
2020-08-01,14415.19,11684.491024770567,10012.402625436967,13567.167992817078,Prophet
2020-09-01,13478.01,11591.384619250457,9782.315912894077,13338.005079683435,Prophet
2020-10-01,17278.35,15399.846359214276,13413.103708749615,17193.21721452803,Prophet
2020-11-01,13222.2,12646.643404607497,10810.257975275397,14405.026571734,Prophet
2020-12-01,13394.89,13743.635351901225,11963.830959036775,15465.760370799166,Prophet
2021-01-01,13666.01,13591.76169457563,11707.24000254694,15458.38244350036,Prophet
2021-02-01,16079.18,17017.89174238727,15058.24747774854,18766.6759845206,Prophet
2021-03-01,13260.89,17048.8196066209,15313.430629147497,18761.544132311163,Prophet
2021-04-01,16443.53,17190.260975584246,15448.048816928262,19068.202321004905,Prophet
2021-05-01,18259.68,17084.488059768148,15360.09193926611,18869.1525170848,Prophet
2021-06-01,17353.4,16608.073570924364,14919.965699461725,18401.973516258928,Prophet
2021-07-01,17004.44,17281.167386286434,15541.279983365946,19106.89022728042,Prophet
2021-08-01,13853.25,14199.346374968209,12406.641780355323,15879.031901009197,Prophet
2021-09-01,14359.91,14448.840638492928,12623.034010185658,16256.886895108379,Prophet
2021-10-01,16595.75,16125.1720794242,14341.25132863326,17915.558442937603,Prophet
2021-11-01,14158.99,13771.40954766384,11877.944856521635,15557.639350777272,Prophet
2021-12-01,17466.45,15447.904387647446,13671.07630303867,17217.646299264077,Prophet
2022-01-01,13766.62,15302.38529925585,13544.088344010746,17086.53239389084,Prophet
2022-02-01,16952.22,18728.680240655456,16938.074311648095,20459.315079754233,Prophet
2022-03-01,19544.28,19214.16165519022,17457.007008350618,20942.811401966395,Prophet
2022-04-01,17136.81,18795.167559940735,17088.74205899556,20687.721479342603,Prophet
2022-05-01,18268.35,18103.422786709205,16288.492352355388,19903.32661272926,Prophet
2022-06-01,16970.65,18450.953354672514,16673.807383581912,20236.818376533964,Prophet
2022-07-01,20067.05,18101.207810603948,16271.339649543477,19856.77416801778,Prophet
2022-08-01,17713.22,16739.57746178558,14992.424486741194,18568.143926719815,Prophet
2022-09-01,19070.74,17283.52968934911,15308.090209161233,19220.897518476308,Prophet
2022-10-01,16131.41,16822.829985504304,14918.220402700386,18601.09608807772,Prophet
2022-11-01,13582.71,14903.928034728706,13170.864519835066,16820.38519953103,Prophet
2022-12-01,15443.75,17164.711500781057,15353.416157118509,19060.43512980591,Prophet
2023-01-01,,17021.11830954292,15229.140899154183,18913.58635259301,Prophet
2023-02-01,,20446.51911082514,18622.42281983787,22241.62924250312,Prophet
2023-03-01,,21371.816725969984,19497.458747696815,23039.031560279014,Prophet
2023-04-01,,20381.711009716277,18607.286351511404,22288.381359926996,Prophet
2023-05-01,,19121.821603194046,17410.203545230437,20869.459308550202,Prophet
2023-06-01,,20296.626025880676,18489.530745609165,22139.573160127446,Prophet
