date,revenue,expenses,region,department
2018-01-01,8645.95,5062.84,Global,General
2018-02-01,12877.17,7732.66,Global,General
2018-03-01,13851.14,9783.38,Global,General
2018-04-01,13232.77,9025.15,Global,General
2018-05-01,8227.61,4110.15,Global,General
2018-06-01,12757.33,6940.57,Global,General
2018-07-01,11032.85,6903.47,Global,General
2018-08-01,7770.91,6600.93,Global,General
2018-09-01,9316.04,4675.45,Global,General
2018-10-01,8778.57,5972.46,Global,General
2018-11-01,9343.45,4952.38,Global,General
2018-12-01,9204.84,6270.27,Global,General
2019-01-01,11396.73,6601.04,Global,General
2019-02-01,15457.68,8356.41,Global,General
2019-03-01,15852.98,10377.15,Global,General
2019-04-01,14615.56,10988.04,Global,General
2019-05-01,13578.4,8211.75,Global,General
2019-06-01,12415.87,8156.37,Global,General
2019-07-01,9503.91,4713.6,Global,General
2019-08-01,11673.86,6904.94,Global,General
2019-09-01,11232.1,6006.51,Global,General
2019-10-01,10623.4,7224.3,Global,General
2019-11-01,8704.74,5061.34,Global,General
2019-12-01,13648.43,7009.38,Global,General
2020-01-01,12610.92,7818.23,Global,General
2020-02-01,15851.7,9640.28,Global,General
2020-03-01,15986.72,10007.75,Global,General
2020-04-01,16072.52,10341.12,Global,General
2020-05-01,16917.22,9269.17,Global,General
2020-06-01,15852.03,7870.69,Global,General
2020-07-01,18055.41,10498.35,Global,General
2020-08-01,14415.19,8154.35,Global,General
2020-09-01,13478.01,8592.31,Global,General
2020-10-01,17278.35,9833.84,Global,General
2020-11-01,13222.2,7758.97,Global,General
2020-12-01,13394.89,7023.15,Global,General
2021-01-01,13666.01,6927.09,Global,General
2021-02-01,16079.18,12160.28,Global,General
2021-03-01,13260.89,7410.66,Global,General
2021-04-01,16443.53,9479.77,Global,General
2021-05-01,18259.68,12521.76,Global,General
2021-06-01,17353.4,11616.77,Global,General
2021-07-01,17004.44,10907.19,Global,General
2021-08-01,13853.25,8032.47,Global,General
2021-09-01,14359.91,10153.87,Global,General
2021-10-01,16595.75,9489.95,Global,General
2021-11-01,14158.99,6279.43,Global,General
2021-12-01,17466.45,11521.53,Global,General
2022-01-01,13766.62,10227.56,Global,General
2022-02-01,16952.22,10494.95,Global,General
2022-03-01,19544.28,13147.08,Global,General
2022-04-01,17136.81,10781.94,Global,General
2022-05-01,18268.35,13730.41,Global,General
2022-06-01,16970.65,10599.09,Global,General
2022-07-01,20067.05,12652.18,Global,General
2022-08-01,17713.22,9685.58,Global,General
2022-09-01,19070.74,10257.48,Global,General
2022-10-01,16131.41,8654.23,Global,General
2022-11-01,13582.71,6613.85,Global,General
2022-12-01,15443.75,8651.37,Global,General
